"Gender","Ethnicity","EEO4.Description","EEOP.Job.Group.Description","Department","EEO.Function","Age","Employment.Status"
1,7,"Paraprofessionals","Technicians","AGRICULTURE & ENVIRON MGMT",5,2,1
1,7,"Paraprofessionals","Technicians","AGRICULTURE & ENVIRON MGMT",5,2,1
0,7,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,1
1,6,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,1
1,7,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,1
1,0,"Administrative Support","Administrative Support","COUNTY LIBRARY",11,2,1
0,6,"Administrative Support","Administrative Support","PARKS & RECREATION",5,2,1
1,5,"Administrative Support","Administrative Support","PARKS & RECREATION",5,2,1
0,0,"Service Maintenance","Service Maintenance","PARKS & RECREATION",5,2,1
1,0,"Paraprofessionals","Technicians","PARKS & RECREATION",5,2,1
0,4,"Administrative Support","Administrative Support","COUNTY CLERK-RECORDER",11,2,1
1,3,"Administrative Support","Administrative Support","DEPARTMENT OF CORRECTION",4,2,0
0,5,"Service Maintenance","Service Maintenance","FACILITIES AND FLEET",7,2,0
0,5,"Service Maintenance","Service Maintenance","FACILITIES AND FLEET",7,2,0
0,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
0,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
1,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
0,7,"Administrative Support","Administrative Support","REGISTRAR OF VOTERS",11,2,1
0,7,"Paraprofessionals","Technicians","REGISTRAR OF VOTERS",11,2,1
1,0,"Paraprofessionals","Technicians","SHERIFF SERVICES",9,2,1
1,4,"Administrative Support","Administrative Support","SANTA CLARA VALLEY MEDICAL CENTER",0,2,1
1,7,"Paraprofessionals","Technicians","VECTOR CONTROL DISTRICT",5,2,1
1,7,"Service Maintenance","Service Maintenance","AGRICULTURE & ENVIRON MGMT",5,2,0
